"","Year","Name","MasFem","MinPressure_before","Minpressure_Updated_2014","Gender_MF","Category","alldeaths","NDAM","Elapsed_Yrs","Source","ZMasFem","ZMinPressure_A","ZNDAM"
"56",1989,"Hugo",2.888889,934,934,"Male","4",21,20020,24,"MWR",-1.20596231080961,-1.59547473348067,0.98578413230901
"57",1989,"Jerry",2.333333,983,983,"Male","1",3,230,24,"MWR",-1.37810913138921,0.93438812214047,-0.544281385766017
"58",1991,"Bob",1.666667,962,962,"Male","2",15,3620,22,"MWR",-1.58468494424791,-0.149838815982874,-0.282183250027041
"59",1992,"Andrew",2.222222,922,922,"Male","5",62,66730,21,"MWR",-1.41253843353233,-2.21503298383686,4.59717171943809
"60",1993,"Emily",9.833333,960,961,"Female","3",3,96,20,"MWR",0.945871087251304,-0.253098524375573,-0.554641607060714
"61",1995,"Erin",7.222222,973,973,"Female","2",6,1650,18,"MWR",0.136781712228016,0.418089580176973,-0.434493966075945
"62",1995,"Opal",8.5,942,942,"Female","3",9,7550,18,"MWR",0.532719151669888,-1.18243589990987,0.0216650312278786
"63",1996,"Bertha",8.5,974,974,"Female","2",8,700,17,"MWR",0.532719151669888,0.469719434373323,-0.507943296150289
"64",1996,"Fran",7.166667,954,954,"Female","3",26,8260,17,"MWR",0.119567216088473,-0.562877649553671,0.076558741072915
"65",1997,"Danny",2.222222,984,984,"Male","1",10,200,16,"MWR",-1.41253843353233,0.98601797633682,-0.546600838294681
"66",1998,"Bonnie",9.388889,964,964,"Female","2",3,1650,15,"MWR",0.808153878678842,-0.0465791075901743,-0.434493966075945
"67",1998,"Earl",1.888889,987,987,"Male","1",3,160,15,"MWR",-1.51582633996168,1.14090753892587,-0.549693441666232
"68",1998,"Georges",2.277778,964,964,"Male","2",1,3870,15,"MWR",-1.39532362752876,-0.0465791075901743,-0.262854478954845
"69",1999,"Bret",2.333333,951,951,"Male","3",0,94,14,"MWR",-1.37810913138921,-0.71776721214272,-0.554796237229292
"70",1999,"Floyd",1.833333,956,956,"Male","2",56,8130,14,"MWR",-1.53304114596525,-0.459617941160972,0.0665077801153731
"71",1999,"Irene",9.277778,987,964,"Female","1",8,1430,14,"MWR",0.773724576535726,1.14090753892587,-0.451503284619477
"72",2002,"Lili",10.333333,963,963,"Female","1",2,1260,11,"MWR",1.10080310182734,-0.098208961786524,-0.46464684894857
"73",2003,"Claudette",9.166667,979,979,"Female","1",3,250,10,"MWR",0.739295274392611,0.727868705355071,-0.542735084080242
"74",2003,"Isabel",9.388889,957,957,"Female","2",51,4980,10,"MWR",0.808153878678842,-0.407988086964622,-0.177034735394295
"75",2004,"Alex",4.166666,972,972,"Male","1",1,5,9,"MWR",-0.810025181231764,0.366459725980623,-0.561677279730994
"76",2004,"Charley",2.888889,941,941,"Male","4",10,20510,9,"MWR",-1.20596231080961,-1.23406575410622,1.02366852361051
"77",2004,"Frances",6,960,960,"Female","2",7,12620,9,"MWR",-0.241940921210285,-0.253098524375573,0.413652508572011
"78",2004,"Gaston",2.666667,985,985,"Male","1",8,170,9,"MWR",-1.27482091509584,1.03764783053317,-0.548920290823344
"79",2004,"Ivan",1.055556,946,946,"Male","3",25,18590,9,"MWR",-1.77404626096706,-0.975916483124469,0.87522356177605
"80",2004,"Jeanne",8.5,950,950,"Female","3",5,10210,9,"MWR",0.532719151669888,-0.76939706633907,0.227323155436043
"81",2005,"Cindy",9.944444,991,991,"Female","1",1,350,8,"MWR",0.98030038939442,1.34742695571127,-0.535003575651363
"82",2005,"Dennis",2.444444,946,946,"Male","3",15,2650,8,"MWR",-1.3436798292461,-0.975916483124469,-0.357178881787161
"83",2005,"Ophelia",9.166667,982,982,"Female","1",1,91,8,"MWR",0.739295274392611,0.88275826794412,-0.555028182482158
"84",2005,"Rita",9.5,937,937,"Female","3",62,10690,8,"MWR",0.842583180821958,-1.44058517089162,0.264434395894659
"85",2005,"Wilma",8.611111,950,950,"Female","3",5,25960,8,"MWR",0.567148453813004,-0.76939706633907,1.44503573298438
"86",2007,"Humberto",2.388889,985,985,"Male","1",1,51,6,"MWR",-1.36089432538564,1.03764783053317,-0.55812078585371
"87",2008,"Dolly",9.833333,963,967,"Female","1",1,1110,5,"MWR",0.945871087251304,-0.098208961786524,-0.476244111591888
"88",2008,"Gustav",1.722222,951,954,"Male","2",52,4360,5,"MWR",-1.56747044810837,-0.71776721214272,-0.224970087653341
"89",2008,"Ike",1.888889,935,950,"Male","2",84,20370,5,"MWR",-1.51582633996168,-1.54384487928432,1.01284441181008
"90",2011,"Irene",9.277778,952,952,"Female","1",41,7110,2,"MWR",0.773724576535726,-0.666137357946371,-0.0123536058591862
"91",2012,"Isaac",1.944444,965,966,"Male","1",5,24000,1,"MWR",-1.49861184382213,0.00505074660617536,1.29349816777837
"92",2012,"Sandy",9,945,942,"Female","2",159,75000,1,"MWR",0.687651166245923,-1.02754633732082,5.23656746650633
